nct_id,study_title,phase_clean,status,intervention_name,intervention_type,mechanism_class,sponsor,conditions,start_date,primary_completion_date,source_link
NCT06986993,Impact of Semaglutide on Tobacco Use and Related Health Behaviors,Unknown,RECRUITING,"Semaglutide, Placebo","DRUG, DRUG",Other,University of Oklahoma,['Tobacco Use'],2024-07-01,2028-05-30,https://clinicaltrials.gov/study/NCT06986993
NCT07225816,"Examination of How the Duration of Fasting and Temporary Stopping of GLP-1 Medications Affect the Amount of Food Left in the Stomach in People Using Liraglutide (Injected), Semaglutide (Taken by Mouth) or Semaglutide (Injected)",Unknown,RECRUITING,"Liraglutide, Oral Semaglutide, Semaglutide","DRUG, DRUG, DRUG",Other,Novo Nordisk A/S,['Obesity'],2025-11-07,2026-06-19,https://clinicaltrials.gov/study/NCT07225816
NCT05564104,A Research Study Looking at How a Single Dose of the Medicine Cagrilintide Works in Participants With Reduced Liver Function and in Healthy Participants With Normal Liver Function and How Cagrilintide is Absorbed and Used by the Body,Unknown,COMPLETED,Cagrilintide,DRUG,Other,Novo Nordisk A/S,"['Hepatic Impairment', 'Healthy Volunteers']",2023-04-05,2024-09-06,https://clinicaltrials.gov/study/NCT05564104
NCT06634927,"Pharmacokinetic Similarity, Safety, and Immunogenicity of Semaglutide Injection and Ozempic ® Injection in Healthy Subjects.",Unknown,COMPLETED,"Ozempic®, HDG1901","DRUG, DRUG",Other,"Hangzhou Zhongmei Huadong Pharmaceutical Co., Ltd.",['Type 2 Diabetes'],2024-09-22,2024-11-14,https://clinicaltrials.gov/study/NCT06634927
NCT03811561,A Research Study to Look at How Semaglutide Compared to Placebo Affects Diabetic Eye Disease in People With Type 2 Diabetes,Unknown,ACTIVE_NOT_RECRUITING,"Semaglutide, Placebo (semaglutide)","DRUG, DRUG",Other,Novo Nordisk A/S,"['Diabetes Mellitus, Type 2']",2019-05-08,2026-12-25,https://clinicaltrials.gov/study/NCT03811561
NCT03693430,Two-year Research Study Investigating How Well Semaglutide Works in People Suffering From Overweight or Obesity,Unknown,COMPLETED,"Semaglutide, Placebo (Semaglutide)","DRUG, DRUG",Other,Novo Nordisk A/S,"['Overweight', 'Obesity']",2018-10-05,2021-01-29,https://clinicaltrials.gov/study/NCT03693430
NCT06292065,Gastric Ultrasound To Assess Gastric Contents In Patients On Semaglutide Therapy,Unknown,COMPLETED,Point-of-care gastric ultrasound,DIAGNOSTIC_TEST,Other,Nils Vlaeminck,['Gastroparesis'],2024-04-16,2025-05-31,https://clinicaltrials.gov/study/NCT06292065
NCT02128932,Efficacy and Safety of Semaglutide Once Weekly Versus Insulin Glargine Once Daily as add-on to Metformin With or Without Sulphonylurea in Insulin-naïve Subjects With Type 2 Diabetes,Unknown,COMPLETED,"semaglutide, insulin glargine","DRUG, DRUG",Other,Novo Nordisk A/S,"['Diabetes', 'Diabetes Mellitus, Type 2']",2014-08-04,2015-09-03,https://clinicaltrials.gov/study/NCT02128932
NCT04639414,Combined Active Treatment in Type 2 Diabetes with NASH,Unknown,ACTIVE_NOT_RECRUITING,"Empagliflozin 10mg oral tablet / Semaglutide 1mg pen injector, Empagliflozin 10mg oral tablet and placebo pen injector matching semaglutide, Placebo matching empagliflozin and placebo pen injector matching semaglutide","DRUG, DRUG, DRUG",Other,German Diabetes Center,"['Type 2 Diabetes', 'Non-alcoholic Steatohepatitis (NASH)', 'Non-alcoholic Fatty Liver Disease (NAFLD)']",2021-03-26,2025-01-31,https://clinicaltrials.gov/study/NCT04639414
NCT06065540,"A Research Study to See How Well CagriSema Compared to Semaglutide, Cagrilintide and Placebo Lowers Blood Sugar and Body Weight in People With Type 2 Diabetes Treated With Metformin With or Without an SGLT2 Inhibitor",Unknown,ACTIVE_NOT_RECRUITING,"Cagrilintide, Semaglutide, Placebo cagrilintide, Placebo semaglutide","DRUG, DRUG, DRUG, DRUG",Other,Novo Nordisk A/S,['Type 2 Diabetes Mellitus'],2023-09-27,2025-11-17,https://clinicaltrials.gov/study/NCT06065540
NCT06987669,Gastric Emptying in Healthy Volunteers and GLP-1 Agonist Users,Unknown,NOT_YET_RECRUITING,Gastric Ultrasound,DIAGNOSTIC_TEST,Other,Clinica Alemana de Santiago,"['Diabetes Type 2', 'Obesity and Overweight']",2025-05-17,2026-12-31,https://clinicaltrials.gov/study/NCT06987669
NCT05303857,Analyse the Effect of Semaglutide on Vascular Structure and Function in Patients With Early Type 2 Diabetes,Unknown,COMPLETED,"Semaglutide Pen Injector, Placebo","DRUG, DRUG",Other,University of Erlangen-Nürnberg Medical School,"['Diabetes Mellitus, Type 2']",2022-03-03,2023-12-15,https://clinicaltrials.gov/study/NCT05303857
NCT05622045,"Does Personality Predict Patient Adherence, Health Behaviors, and Weight Loss Outcomes During the Latino Crossover Semaglutide Study (LCSS)? (Story-LCSS Project)",Unknown,ACTIVE_NOT_RECRUITING,Voice data,BEHAVIORAL,Other,Loma Linda University,"['Obesity', 'Body Weight Changes']",2023-02-01,2024-05-29,https://clinicaltrials.gov/study/NCT05622045
NCT06015893,Semaglutide Therapy for Alcohol Reduction (STAR),Unknown,RECRUITING,"Take Control, Semaglutide","BEHAVIORAL, DRUG",Other,National Institute on Drug Abuse (NIDA),"['Addiction', 'Alcohol Use Disorder']",2023-10-17,2030-12-31,https://clinicaltrials.gov/study/NCT06015893
NCT04885634,Semaglutide for the Reduction of Arrhythmia Burden in Overweight AF Patients,Unknown,WITHDRAWN,"Semaglutide Injectable Product, Placebo","DRUG, DRUG",Other,Axel Brandes,"['Atrial Fibrillation', 'Overweight and Obesity']",2022-10,2024-01,https://clinicaltrials.gov/study/NCT04885634
NCT05756764,Anti-obesity Pharmacotherapy and Inflammation,Unknown,ACTIVE_NOT_RECRUITING,"Semaglutide, Phentermine-Topiramate combination, Phentermine, Tirzepatide, Topiramate, Diethylpropion, Naltrexone/Bupropion, Liraglutide","DRUG, DRUG, DRUG, DRUG, DRUG, DRUG, DRUG, DRUG",Other,Louisiana State University Health Sciences Center in New Orleans,['Obesity'],2023-06-01,2026-01-30,https://clinicaltrials.gov/study/NCT05756764
NCT05071898,Pharmacogenetics of Response to GLP1R Agonists,Unknown,RECRUITING,Semaglutide Pen Injector [Ozempic],DRUG,Other,"University of Maryland, Baltimore","['Obesity', 'Diabetes Type 2']",2022-04-11,2026-11-30,https://clinicaltrials.gov/study/NCT05071898
NCT07171723,Studying the Influence of LEAP2 on Integrated Endocrine Control of Eating During Semaglutide Treatment,Unknown,RECRUITING,"Liver-Expressed Antimicrobial Peptide 2 (LEAP2), Placebo (saline)","BIOLOGICAL, OTHER",Other,"University Hospital, Gentofte, Copenhagen",['Obesity &Amp; Overweight'],2025-09-01,2025-12-14,https://clinicaltrials.gov/study/NCT07171723
NCT03611582,Research Study to Look at How Well Semaglutide is at Lowering Weight When Taken Together With an Intensive Lifestyle Program,Unknown,COMPLETED,"Semaglutide, Placebo (semaglutide)","DRUG, DRUG",Other,Novo Nordisk A/S,"['Overweight', 'Obesity']",2018-08-01,2020-03-18,https://clinicaltrials.gov/study/NCT03611582
NCT06659718,Emulation of the SOUL Diabetes Trial in Healthcare Claims,Unknown,COMPLETED,"Oral semaglutide, Sitagliptin","DRUG, DRUG",Other,Brigham and Women's Hospital,"['Diabetes Mellitus, Type 2']",2024-10-24,2025-02-13,https://clinicaltrials.gov/study/NCT06659718
NCT02849080,Efficacy and Safety of Oral Semaglutide Using a Flexible Dose Adjustment Based on Clinical Evaluation Versus Sitagliptin in Subjects With Type 2 Diabetes Mellitus.,Unknown,COMPLETED,"semaglutide, sitagliptin","DRUG, DRUG",Other,Novo Nordisk A/S,"['Diabetes', 'Diabetes Mellitus, Type 2']",2016-09-20,2018-02-28,https://clinicaltrials.gov/study/NCT02849080
NCT05087342,Latino Semaglutide Study,Unknown,COMPLETED,"Semaglutide 2.4mg, Placebo","DRUG, DRUG",Other,Loma Linda University,"['Obesity', 'Obesity; Drug', 'Overweight or Obesity', 'Weight Loss', 'Weight Loss Trajectory', 'Weight, Body']",2022-12-13,2024-05-29,https://clinicaltrials.gov/study/NCT05087342
NCT04559815,"A Research Study Looking at How Oral Semaglutide Works in People With Type 2 Diabetes in Canada, as Part of Local Clinical Practice",Unknown,COMPLETED,Oral Semaglutide,DRUG,Other,Novo Nordisk A/S,"['Diabetes Mellitus, Type 2']",2020-10-21,2022-09-14,https://clinicaltrials.gov/study/NCT04559815
NCT05220917,Comparative Effectiveness and Safety of Four Second Line Pharmacological Strategies in Type 2 Diabetes Study,Unknown,UNKNOWN,"SGLT2 inhibitor, DPP-4 inhibitor, GLP-1RA, 2nd generation SU","DRUG, DRUG, DRUG, DRUG",GLP-1 agonist,Brigham and Women's Hospital,"['Cardiovascular Events', 'Type2 Diabetes', 'Renal Disease']",2021-08-01,2024-07-31,https://clinicaltrials.gov/study/NCT05220917
NCT06400615,Study That Tests AD109 in Patients Taking GLP-1 Drugs,Unknown,COMPLETED,AD109,DRUG,Other,Apnimed,['OSA'],2024-05-20,2024-12-26,https://clinicaltrials.gov/study/NCT06400615
NCT07018544,"A Multicentre, Prospective, Single-arm, Non-interventional Regulatory Post-marketing Surveillance (rPMS) Study to Investigate the Safety and Effectiveness of Wegovy® (Semaglutide) in Patients With Obesity and Patients With Overweight in Routine Clinical Practice in Korea",Unknown,ENROLLING_BY_INVITATION,semaglutide,OTHER,Other,Novo Nordisk A/S,['Obesity and Overweight'],2024-11-19,2027-02-28,https://clinicaltrials.gov/study/NCT07018544
NCT05751226,A Study in People With Overweight or Obesity to Test How Well Different Doses of BI 1820237 Are Tolerated When Given Alone or in Combination With Either Semaglutide or BI 456906,Unknown,COMPLETED,"BI 1820237, semaglutide, Placebo, BI 456906","DRUG, DRUG, DRUG, DRUG",Other,Boehringer Ingelheim,"['Healthy', 'Obesity']",2023-04-11,2024-08-01,https://clinicaltrials.gov/study/NCT05751226
NCT06771115,Phase 2a Placebo-Controlled Study of VTX3232 Alone or in Combination With Semaglutide in Obesity,Unknown,COMPLETED,"VTX3232 Dose A, Placebo, VTX3232 Dose A in combination with semaglutide, Placebo in combination with semaglutide","DRUG, DRUG, DRUG, DRUG",Other,Zomagen Biosciences Ltd.,['Obesity'],2025-01-07,2025-09-10,https://clinicaltrials.gov/study/NCT06771115
NCT07226947,Body Composition and Exercise to Prevent Muscle Loss With GLP1 Agonist Treatment,Unknown,RECRUITING,"Smartwatch activity and body composition monitor, General guidance on recommended exercise","DEVICE, BEHAVIORAL",Other,Massachusetts General Hospital,"['Obesity', 'Body Composition']",2025-11,2027-06,https://clinicaltrials.gov/study/NCT07226947
NCT04515849,A Study of Cotadutide in Participants Who Have Chronic Kidney Disease With Type 2 Diabetes Mellitus,Unknown,COMPLETED,"Cotadutide 100 micrograms, Cotadutide 300 micrograms, Cotadutide 600 micrograms, Semaglutide, Placebo","DRUG, DRUG, DRUG, DRUG, DRUG",Other,AstraZeneca,"['Type 2 Diabetes Mellitus', 'Chronic Kidney Diseases']",2020-08-31,2022-03-08,https://clinicaltrials.gov/study/NCT04515849
NCT05892432,Clinical Trial of Rybelsus (Semaglutide) Among Adults With Alcohol Use Disorder (AUD),Unknown,ACTIVE_NOT_RECRUITING,"Semaglutide 3 MG [Rybelsus], Semaglutide 7 MG [Rybelsus], Placebo","DRUG, DRUG, DRUG",Other,"University of Colorado, Denver",['Alcohol Use Disorder'],2024-01-11,2025-10-30,https://clinicaltrials.gov/study/NCT05892432
NCT06715514,"Menopausal Hormone Therapy, GLP-1 Agonists, and Glucose and Energy Homeostasis in Postmenopausal Women With Diabetes",Unknown,RECRUITING,"GLP-1 Receptor Agonist, Menopausal Hormone Therapy","DRUG, DRUG",GLP-1 agonist,Lia Bally,"['Menopause', 'Type 2 Diabetes']",2025-02-18,2026-08-31,https://clinicaltrials.gov/study/NCT06715514
NCT03086330,Efficacy and Safety of Semaglutide Once-weekly Versus Placebo as add-on to SGLT-2i in Subjects With Type 2 Diabetes Mellitus,Unknown,COMPLETED,"Semaglutide, Placebo","DRUG, DRUG",Other,Novo Nordisk A/S,"['Diabetes', 'Diabetes Mellitus, Type 2']",2017-03-15,2018-07-04,https://clinicaltrials.gov/study/NCT03086330
NCT05067621,Semaglutide Effects in Obese Youth With Prediabetes/New Onset Type 2 Diabetes and Non-Alcoholic Fatty Liver Disease,Unknown,RECRUITING,"Semaglutide Pen Injector, Placebo","DRUG, DRUG",Other,Yale University,"['Type 2 Diabetes Mellitus', 'Impaired Glucose Tolerance', 'Non-Alcoholic Fatty Liver Disease', 'Obesity, Childhood']",2023-07-17,2026-12,https://clinicaltrials.gov/study/NCT05067621
NCT06863363,PEG-rhGH and Semaglutide Combination Therapy in Non-Diabetic Obese Adults,Unknown,NOT_YET_RECRUITING,"PEG-rhGH Injection + Semaglutide Injection, Semaglutide Injection","DRUG, DRUG",Other,Shanghai Zhongshan Hospital,['Non-diabetic Obesity'],,,https://clinicaltrials.gov/study/NCT06863363
NCT06410352,Effectiveness of Weight Loss Methods on Lifespan for Metabolic Syndrome,Unknown,RECRUITING,"Semaglutide, Empagliflozin, Minigastric bypass, Analimentary detoxication, Ramadan fast's weight loss","DRUG, PROCEDURE, DIETARY_SUPPLEMENT, BEHAVIORAL",Other,"University Medical Center, Kazakhstan",['Metabolic Syndrome'],2024-03-01,2025-09-30,https://clinicaltrials.gov/study/NCT06410352
NCT07139548,A Study of RAY1225 Versus Semaglutide as Add-on Therapy to Oral Antidiabetic Drugs in Participants With Type 2 Diabetes,Unknown,NOT_YET_RECRUITING,"RAY1225, Semaglutide","DRUG, DRUG",Other,"Guangdong Raynovent Biotech Co., Ltd",['T2DM'],2025-08-31,2026-12-01,https://clinicaltrials.gov/study/NCT07139548
NCT07253285,A Research Study on How Well Cagrilintide and CagriSema Work in Children and Adolescents With Excess Body Weight,Unknown,NOT_YET_RECRUITING,"Cagrilintide, Semaglutide, Placebo cagrilintide, Placebo semaglutide","DRUG, DRUG, DRUG, DRUG",Other,Novo Nordisk A/S,"['Overweight', 'Obesity']",2026-01-08,2030-03-20,https://clinicaltrials.gov/study/NCT07253285
NCT06323161,A Research Study to See How Much CagriSema Lowers Blood Sugar and Body Weight Compared to Placebo in People With Type 2 Diabetes Treated With Once-daily Basal Insulin With or Without Metformin,Unknown,COMPLETED,"Cagrilintide, Semaglutide, Placebo","DRUG, DRUG, DRUG",Other,Novo Nordisk A/S,['Type 2 Diabetes'],2024-03-26,2025-09-09,https://clinicaltrials.gov/study/NCT06323161
NCT06914141,Comparative Effectiveness of Tirzepatide Versus Semaglutide in Individuals With Heart Failure With Preserved Ejection Fraction,Unknown,ACTIVE_NOT_RECRUITING,"Tirzepatide, Semaglutide","DRUG, DRUG",Other,Brigham and Women's Hospital,"['Diabetes Mellitus, Type 2', 'HFpEF - Heart Failure With Preserved Ejection Fraction']",2025-01-14,2025-05,https://clinicaltrials.gov/study/NCT06914141
NCT02070510,A Trial Investigating the Influence of Oral Semaglutide on the Pharmacokinetics of Lisinopril and Warfarin in Healthy Subjects,Unknown,COMPLETED,"semaglutide, lisinopril, warfarin, placebo","DRUG, DRUG, DRUG, DRUG",Other,Novo Nordisk A/S,"['Diabetes', 'Healthy']",2014-02-27,2014-08-20,https://clinicaltrials.gov/study/NCT02070510
NCT05984238,"A Trial to Evaluate Safety, Feasibility and Efficacy of the ReCET Procedure (EMINENT-2)",Unknown,UNKNOWN,"ReCET, Semaglutide, 1.0 mg/mL, Sham procedure","DEVICE, DRUG, OTHER",Other,Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),"['Diabetes Mellitus, Type 2']",2023-08-03,2025-01,https://clinicaltrials.gov/study/NCT05984238
NCT07090343,Semaglutide in Patients Undergoing Transcatether Aortic Valve Replacement,Unknown,NOT_YET_RECRUITING,"Wegovy ®, Placebo","DRUG, DRUG",Other,Leiden University Medical Center,"['Aortic Stenosis', 'Heart Failure']",2026-04-01,2030-09-01,https://clinicaltrials.gov/study/NCT07090343
NCT06738979,A Clinical Study Comparing Semaglutide Injection and Wegovy® for Weight Management in Obese Subjects,Unknown,NOT_YET_RECRUITING,"TQF3510 (Semaglutide Injection), Wegovy®","DRUG, DRUG",Other,"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",['Obesity'],2025-03,2026-07,https://clinicaltrials.gov/study/NCT06738979
NCT05232708,A Clinical Trial Looking at the Comparability of 2 Different Forms of Semaglutide,Unknown,COMPLETED,"Semaglutide B, 1.34 mg/mL, Semaglutide D, 1.0 mg/mL, Semaglutide D, 1.0 mg/mL, Semaglutide B, 1.34 mg/mL","DRUG, DRUG, DRUG, DRUG",Other,Novo Nordisk A/S,"['Healthy Volunteers (Diabetes Mellitus, Type 2)']",2022-01-19,2022-08-30,https://clinicaltrials.gov/study/NCT05232708
NCT05064735,Research Study Looking at How Well Semaglutide Works in People Suffering From Obesity and Knee Osteoarthritis,Unknown,COMPLETED,"semaglutide 2.4 mg, semaglutide 2.4 mg (placebo)","DRUG, DRUG",Other,Novo Nordisk A/S,['Obesity'],2021-10-01,2023-07-24,https://clinicaltrials.gov/study/NCT05064735
NCT04447859,16-week Flexible vs. 8-week Semaglutide Titration,Unknown,UNKNOWN,"Semaglutide, label recommended titration","DRUG, OTHER",Other,Tel-Aviv Sourasky Medical Center,['Diabetes type2'],2020-02-23,2022-05-10,https://clinicaltrials.gov/study/NCT04447859
NCT05230589,"A Research Study Looking at How Oral Semaglutide Works in People With Type 2 Diabetes in Saudi Arabia, as Part of Local Clinical Practice",Unknown,COMPLETED,Oral semaglutide,DRUG,Other,Novo Nordisk A/S,"['Diabetes Mellitus, Type 2']",2022-04-25,2023-03-13,https://clinicaltrials.gov/study/NCT05230589
NCT06409130,"Effects of NNC0194-0499, Cagrilintide, and Semaglutide Alone or in Combinations on Liver Damage and Alcohol Use in People With Alcohol-related Liver Disease",Unknown,ACTIVE_NOT_RECRUITING,"NNC0194-0499, Semaglutide, NNC0194-0499 placebo, Semaglutide placebo (Group A), Cagrilintide + semaglutide, Cagrilintide, Cagrilintide placebo, Semaglutide placebo (Group B)","DRUG, DRUG, DRUG, DRUG, DRUG, DRUG, DRUG, DRUG",Other,Novo Nordisk A/S,['Alcohol-related Liver Disease'],2024-05-20,2025-11-13,https://clinicaltrials.gov/study/NCT06409130
NCT04889183,SeMaglutide and Albuminuria Reduction Trial in Obese Individuals Without Diabetes,Unknown,COMPLETED,"Semaglutide, Placebo","DRUG, DRUG",Other,University Medical Center Groningen,"['Obesity', 'Albuminuria']",2022-03-14,2024-05-28,https://clinicaltrials.gov/study/NCT04889183
NCT03842202,A Research Study to Look at How Semaglutide Affects Gastric Emptying in People With Obesity,Unknown,COMPLETED,"Semaglutide, Placebo","DRUG, DRUG",Other,Novo Nordisk A/S,"['Overweight', 'Obesity']",2019-02-15,2019-11-04,https://clinicaltrials.gov/study/NCT03842202
NCT03951753,A Study of Tirzepatide in Participants With Type 2 Diabetes Mellitus (T2DM),Unknown,COMPLETED,"Tirzepatide, Semaglutide, Placebo","DRUG, DRUG, DRUG",Other,Eli Lilly and Company,"['Diabetes Mellitus, Type 2']",2019-06-28,2021-04-08,https://clinicaltrials.gov/study/NCT03951753
NCT06083675,Research Study to Compare Semaglutide Tablets With Empagliflozin or Metformin Tablets in People With Type 2 Diabetes,Unknown,WITHDRAWN,"Semaglutide, Empagliflozin, Metformin","DRUG, DRUG, DRUG",Other,Novo Nordisk A/S,"['Diabetes Mellitus, Type 2']",2024-01-26,2025-01-24,https://clinicaltrials.gov/study/NCT06083675
NCT07041983,24-h Energy Expenditure and Anti-obesity Medication,Unknown,NOT_YET_RECRUITING,anti obesity medication,DRUG,Other,University of Pisa,['Obesity'],2025-07-01,2026-06-01,https://clinicaltrials.gov/study/NCT07041983
NCT05013229,"A Research Study to See How Well the New Weekly Medicine IcoSema, Which is a Combination of Insulin Icodec and Semaglutide, Controls Blood Sugar Level in People With Type 2 Diabetes Compared to Insulin Glargine Taken Daily With Insulin Aspart (COMBINE 3)",Unknown,COMPLETED,"IcoSema, Insulin glargine, insulin aspart","DRUG, DRUG, DRUG",Other,Novo Nordisk A/S,"['Diabetes Mellitus, Type 2']",2021-11-30,2023-11-14,https://clinicaltrials.gov/study/NCT05013229
NCT03600480,A Research Study of How NNC0174-0833 Taken With Semaglutide Works in People Who Are Overweight or Obese,Unknown,COMPLETED,"NNC0174-0833, Semaglutide, Placebo (NNC0174-0833)","DRUG, DRUG, DRUG",Other,Novo Nordisk A/S,"['Obesity', 'Overweight']",2018-07-25,2020-06-12,https://clinicaltrials.gov/study/NCT03600480
NCT04251156,Research Study of How Well Semaglutide Works in People Living With Overweight or Obesity.,Unknown,COMPLETED,"Semaglutide, Placebo (semaglutide)","DRUG, DRUG",Other,Novo Nordisk A/S,"['Overweight', 'Obesity', 'Diabetes Mellitus, Type 2']",2020-12-08,2022-08-23,https://clinicaltrials.gov/study/NCT04251156
NCT05779644,"Effects of GLP-1RA on Body Weight, Metabolism and Fat Distribution in Overweight/Obese Patients With Type 2 Diabetes Mellitus",Unknown,UNKNOWN,"Liraglutide, Semaglutide, Metformin","DRUG, DRUG, DRUG",Other,RenJi Hospital,"['Metformin', 'Obesity, Abdominal', 'Diabetes Mellitus, Type 2', 'Abdominal Fat', 'Non-Alcoholic Fatty Liver Disease', 'Metabolism Disorder, Glucose', 'Metabolism Disorder, Lipid']",2023-02-23,2025-02-23,https://clinicaltrials.gov/study/NCT05779644
NCT06739044,Efficacy and Safety of Semaglutide Injection vs Ozempic® in Patients With Type 2 Diabetes,Unknown,COMPLETED,"Ozempic®, HDG1901","DRUG, DRUG",Other,"Hangzhou Zhongmei Huadong Pharmaceutical Co., Ltd.",['Type 2 Diabetes'],2023-09-20,2024-10-11,https://clinicaltrials.gov/study/NCT06739044
NCT03884075,"Non-Alcoholic Fatty Liver Disease, the HEpatic Response to Oral Glucose, and the Effect of Semaglutide (NAFLD HEROES)",Unknown,RECRUITING,Semaglutide,DRUG,Other,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),"['Non-Alcoholic Steatohepatitis', 'Non-Alcoholic Fatty Liver Disease']",2019-07-24,2026-08-31,https://clinicaltrials.gov/study/NCT03884075
NCT05788965,Semaglutide in CFRD,Unknown,COMPLETED,Semaglutide,DRUG,Other,University of Minnesota,"['Cystic Fibrosis', 'Cystic Fibrosis-related Diabetes']",2023-04-30,2024-12-31,https://clinicaltrials.gov/study/NCT05788965
NCT05891587,Semaglutide Therapy for Alcohol Reduction - Tulsa,Unknown,RECRUITING,"Semaglutide, Placebo","DRUG, DRUG",Other,Oklahoma State University Center for Health Sciences,['Alcohol Use Disorder'],2023-07-07,2025-07,https://clinicaltrials.gov/study/NCT05891587
NCT05616013,Safety and Efficacy of Bimagrumab and Semaglutide in Adults Who Are Overweight or Obese,Unknown,COMPLETED,"Bimagrumab, Semaglutide, Placebo","BIOLOGICAL, DRUG, OTHER",Other,Eli Lilly and Company,"['Obesity', 'Obese', 'Overweight or Obesity']",2022-11-16,2024-05-16,https://clinicaltrials.gov/study/NCT05616013
NCT06431308,Nutritional Therapy to Incretin-based Anti-obesity Medications in the Management of Gastrointestinal Adverse Events,Unknown,RECRUITING,nutritional intervention,BEHAVIORAL,Other,Ariel University,['Obesity; Drug'],2025-01-30,2026-02-01,https://clinicaltrials.gov/study/NCT06431308
NCT05569772,Semaglutide for the Treatment of Glucose Intolerance in Women with Prior Gestational Diabetes,Unknown,RECRUITING,"Semaglutide Pen Injector, Semaglutide placebo","DRUG, DRUG",Other,Universitaire Ziekenhuizen KU Leuven,['Glucose Intolerance After a Recent History of Gestational Diabetes'],2023-09-14,2028-07,https://clinicaltrials.gov/study/NCT05569772
NCT04880005,Digital Individualized and Collaborative Treatment of T2D in General Practice Based on Decision Aid,Unknown,RECRUITING,"Clinical decision support, Digital Lifestyle Coaching, Integration to Standard Electronic Health Record","BEHAVIORAL, BEHAVIORAL, BEHAVIORAL",Other,University of Southern Denmark,['Diabetes type2'],2021-06-01,2025-08-31,https://clinicaltrials.gov/study/NCT04880005
NCT05816057,A Study of the Efficacy and Safety of Semaglutide Injection in the Treatment of Type 2 Diabetes Mellitus,Unknown,COMPLETED,semaglutide injection,BIOLOGICAL,Other,"Hangzhou Jiuyuan Gene Engineering Co. Ltd.,","['Diabetes Mellitus, Type 2']",2022-07-25,2023-07-25,https://clinicaltrials.gov/study/NCT05816057
NCT00851773,"Safety, Tolerability, and Profile of Action of Drug in the Body of NN9535 in Healthy Male Japanese and Caucasian Subjects",Unknown,COMPLETED,"semaglutide, semaglutide, semaglutide, semaglutide, semaglutide, placebo, placebo, placebo, placebo, placebo","DRUG, DRUG, DRUG, DRUG, DRUG, DRUG, DRUG, DRUG, DRUG, DRUG",Other,Novo Nordisk A/S,"['Diabetes', 'Healthy']",2009-02,2009-10,https://clinicaltrials.gov/study/NCT00851773
NCT04624672,Treatment of GLP-1 for Diabetic Bariatric Patients,Unknown,TERMINATED,"Semaglutide (1 Mg Dose), Placebo","DRUG, DRUG",Other,Geisinger Clinic,"['Diabetes Mellitus, Type 2']",2021-08-25,2022-07-18,https://clinicaltrials.gov/study/NCT04624672
NCT04777396,A Research Study Investigating Semaglutide in People With Early Alzheimer's Disease (EVOKE),Unknown,ACTIVE_NOT_RECRUITING,"Semagludtide, Placebo (semaglutide)","DRUG, DRUG",Other,Novo Nordisk A/S,"[""Early Alzheimer's Disease""]",2021-05-18,2025-09-16,https://clinicaltrials.gov/study/NCT04777396
NCT05132088,Research Study to Investigate How Well Semaglutide Tablets Taken Once Daily Work in East Asian People Who Are Overweight or Living With Obesity,Unknown,COMPLETED,"semaglutide 50 mg, placebo (semaglutide)","DRUG, DRUG",Other,Novo Nordisk A/S,['Overweight and Obesity'],2021-11-16,2023-07-11,https://clinicaltrials.gov/study/NCT05132088
NCT06648031,"Comparison of the Safety, Efficacy and Pharmacokinetics of DehydraTECH -CBD and DehydraTECH-GLP1 Agonists Alone or in Combination, in Overweight or Obese, Pre- and Type 2 Diabetic Participants",Unknown,ACTIVE_NOT_RECRUITING,"Arm 1 - DehydraTECH-CBD alone, Arm 2 - DehydraTECH-semaglutide alone, Arm 3 - DehydraTECH-CBD in combination with DehydraTECH-semaglutide, Arm 4 - Rybelsus medication (semaglutide) alone, Arm 5- Tirzepatide","DRUG, DRUG, DRUG, DRUG, DRUG",Other,Lexaria Bioscience Corp.,['Type2diabetes'],2024-12-04,2025-06-30,https://clinicaltrials.gov/study/NCT06648031
NCT05819853,Role of Semaglutide in Restoring Ovulation in Youth and Adults With Polycystic Ovary Syndrome,Unknown,RECRUITING,Semaglutide Injectable Product (Wegovy and/or Ozempic),DRUG,Other,"University of Colorado, Denver","['PCOS (Polycystic Ovary Syndrome) of Bilateral Ovaries', 'Obese']",2023-11-03,2028-02-01,https://clinicaltrials.gov/study/NCT05819853
NCT06154486,Evaluation of Gastric Content of Volunteers Fasting and Using Semaglutide: an Observational and Cross-sectional Study,Unknown,COMPLETED,semaglutide use,DRUG,Other,Hospital Israelita Albert Einstein,"['Pneumonia, Aspiration', 'Anesthesia']",2023-06-19,2023-06-19,https://clinicaltrials.gov/study/NCT06154486
NCT00696657,A Randomised Controlled Clinical Trial in Type 2 Diabetes Comparing Semaglutide to Placebo and Liraglutide,Unknown,COMPLETED,"semaglutide, semaglutide, semaglutide, semaglutide, semaglutide, semaglutide, placebo, placebo, placebo, placebo, placebo, liraglutide, liraglutide","DRUG, DRUG, DRUG, DRUG, DRUG, DRUG, DRUG, DRUG, DRUG, DRUG, DRUG, DRUG, DRUG",Other,Novo Nordisk A/S,"['Diabetes', 'Diabetes Mellitus, Type 2']",2008-06-03,2009-02-05,https://clinicaltrials.gov/study/NCT00696657
